Business Name,Location,Classification
Ace Hardware,201 Front St,
Agnus Dei Christian Books,138 Walnut Ave,
Alchemy Haüs Of Hair,1021 Center St,Personal Care & Wellness
Bad Animal,1011 Cedar St,Food & Drink
The Bagelry,320A Cedar St,Food & Drink
Berdels,1223 Pacific Ave,Retail – Apparel & Accessories
Birichino Winery Tasting Room,204 Church St,Food & Drink
Camouflage,1329 Pacific Ave,Retail – Apparel & Accessories
Childish Toy Shop,1122 Pacific Avenue,
Cloud Nine Mattress,175 Walnut Ave,
Dell Williams Jewelers,1320 Pacific Ave,Retail – Apparel & Accessories
Estrella Collective,1725 Walnut Ave,Retail – Apparel & Accessories
Eye Q,1101 Pacific Ave,
Far West Fungi,244 Laurel St,Food & Drink
Farmer's Market Downtown Santa Cruz,800-850 Cedar St,Food & Drink
Faust Salon,110 Cooper St,Personal Care & Wellness
Game Santa Cruz,1101 Cedar St,Entertainment & Recreation
Handsome Beauty Bar,2030F Pacific Avenue,Personal Care & Wellness
Hat Company of Santa Cruz,1346 Pacific Ave,Retail – Apparel & Accessories
Hidden Peak Tea House,1541-C Pacific Ave,Food & Drink
It'Sugar,110 Cooper St,Food & Drink
Jenna McClure Hairstyling,1001 Center St,Personal Care & Wellness
Kenville Locksmith,111 Union St,Services & Professional
Kinship Hair Co,114 Pearl Alley,Personal Care & Wellness
Leaf & Vine,1532 Pacific Ave,"Retail – Home, Gifts & Specialty"
Lenz Arts,142 River St,"Arts, Culture & Creative"
Level Up Video Games,113 Locust St,Entertainment & Recreation
M.K. Contemporary Art,703 Front St,"Arts, Culture & Creative"
Mattress Nation,1101 Pacific Ave,
Miss Jessie May's Antiques & Collectibles,1533 Pacific Ave,"Retail – Home, Gifts & Specialty"
The Moon,507 Cedar Street,Entertainment & Recreation
Nectar Creations,1325 Pacific Ave,"Retail – Home, Gifts & Specialty"
Needful Things,823 Pacific Ave,"Retail – Home, Gifts & Specialty"
The Needle Lab,1001 Center St,"Arts, Culture & Creative"
Nicely,1349 Pacific Ave,Retail – Apparel & Accessories
Oasis on Pacific,1395 Pacific Avenue,Retail – Apparel & Accessories
Offshore Sounds,109 Locust Street,"Arts, Culture & Creative"
Old School Shoes,1017 Pacific Ave,Retail – Apparel & Accessories
Pacific Trading Co.,1224 Pacific Ave,Retail – Apparel & Accessories
Pacific Wave,1502 Pacific Ave,"Retail – Home, Gifts & Specialty"
Paper Vision,1345 Pacific Ave,"Retail – Home, Gifts & Specialty"
Realm,1526 Pacific Ave,Retail – Apparel & Accessories
Redwood Records,320 Cedar St,"Arts, Culture & Creative"
Santa Cruz Gear Exchange,1306 Pacific Avenue,"Retail – Home, Gifts & Specialty"
Santa Cruz Optometric Center/Spex,904 Cedar St,Personal Care & Wellness
Santa Cruz Warriors Team Headquarters,903 Pacific Ave,"Nonprofit, Education & Community"
UCSC Slug Shop at Bookshop,1520 Pacific Ave,"Nonprofit, Education & Community"
Unicef Store,903 Pacific Ave,"Nonprofit, Education & Community"
Variance Objects,1537 Pacific Ave,"Arts, Culture & Creative"
Vibes Up,698 Front St,Personal Care & Wellness
Wallflower Boutique,107 Locust St,Retail – Apparel & Accessories
World of Stones and Mystics,835 Front St,Specialty & Regulated Retail
Yarn Shop Santa Cruz,765 Cedar St,"Arts, Culture & Creative"
Yes Cacao,1001 Center St,Food & Drink
Yoso Wellness Spa,740 Front St,Personal Care & Wellness
