name,date,location,type
Clam Chowder,2026-02-21,Santa Cruz Beach Boardwalk,food
Spring Girl Scout Overnight,2026-03-13,Santa Cruz Beach Boardwalk,family
Spring Scout Overnight,2026-03-20,Santa Cruz Beach Boardwalk,family
Spring Break,,Santa Cruz Beach Boardwalk,family
Fun Run,2026-03-28,Santa Cruz Beach Boardwalk,sports
Summer Luau,2026-07-10,Santa Cruz Beach Boardwalk,music
Fall Campout,2026-09-11,Santa Cruz Beach Boardwalk,family
Boardwalk PRIDE,,Santa Cruz Beach Boardwalk,festival
Fiesta,2026-09-26,Santa Cruz Beach Boardwalk,music
Bites & Brews,,Santa Cruz Beach Boardwalk,food
Fall Girl Scout Overnight,2026-10-02,Santa Cruz Beach Boardwalk,family
Fall Scout Overnight,2026-10-09,Santa Cruz Beach Boardwalk,family
Santa Cruz,2026-10-17,Santa Cruz Beach Boardwalk,music
Chili,2026-10-24,Santa Cruz Beach Boardwalk,food
Halloween,2026-10-31,Santa Cruz Beach Boardwalk,holiday
Ano Nuevo State Park: Guided Hike in Elephant Seal Viewing,2025-12-15,Año Nuevo State Park,food
Actors Theatre: 8 Tens @ 8 Festival,2026-01-16,Actors' Theatre,arts
Cabrillo College: Aptos Farmers Market,2026-01-17,Cabrillo College,food
Westside Santa Cruz: Farmers Market,2026-01-17,Westside Farmers' Market,market
Roaring Camp Railroads: Redwood Forest Steam Train,2026-01-17,Roaring Camp Railroads,community
Wilder Ranch State Park: Guided Coastal Nature Walk,2026-01-17,Wilder Ranch State Park,family
Peace United: 20th Century Swan Songs,2026-01-17,Peace United Church of Santa Cruz,music
Santa Cruz Warriors vs. Phoenix Valley Suns,2026-01-17,Kaiser Permanente Arena,sports
Downtown Santa Cruz: Makers Market,2026-01-18,Downtown Santa Cruz Makers Market,market
Abbott Square: Comedy Night,2026-01-19,Abbott Square Market,community
Kuumbwa Jazz Center: Acoustic Groove Master,2026-01-20,Kuumbwa Jazz Center,music
Downtown Santa Cruz: Farmers Market,2026-01-21,Downtown Farmers' Market,sports
Abbott Square: Trivia Night,2026-01-21,Abbott Square Market,market
Felton: Farmers Market,2026-01-22,Felton Farmers' Market,sports
Far West Fungi: Myco-Mixer,2026-01-22,Far West Fungi,food
Watsonville: Farmers Market,2026-01-23,Downtown Watsonville,food
The Catalyst: Pop Punk Band MxPx,2026-01-23,The Catalyst,music
Rio Theatre: She Adventures Film Tour,2026-01-24,Rio Theatre,market
Big Basin: Banana Slug Walk,2026-01-31,Big Basin Redwoods State Park,sports
Santa Cruz Museum of Natural History: Laura Hecox Day,2026-01-31,Santa Cruz Museum of Natural History,arts
Santa Cruz Baroque Festival,2026-01-31,Santa Cruz: Various Locations,music
Rio Theatre: Eagles Tribute Concert,2026-01-31,Rio Theatre,music
Cabrillo College: Symphony Piano Recital,2026-02-01,Cabrillo College Samper Hall,music
Bookshop Santa Cruz: Gregory O’Malley,2026-02-02,Bookshop Santa Cruz,community
Rio Theatre: George Saunders,2026-02-03,Rio Theatre,arts
SC Museum of Natural History: Fun-gi First Friday,2026-02-06,Santa Cruz Museum of Natural History,arts
The View at Chaminade: Scotch Dinner,2026-02-06,Chaminade Resort and Spa,food
UCSC Arboretum: First Saturday Tours,2026-02-07,UC Santa Cruz Arboretum,community
Roaring Camp: Train Ride and Guided Mushroom Walk,2026-02-07,Roaring Camp Railroads,outdoor
Studio Zayante: Hearts on Fire Hot Glass Workshop,2026-02-07,Chris Johnson Glass-Studio Zayante,arts
Downtown Santa Cruz: Antiques Faire,2026-02-08,Downtown Santa Cruz Antique Faire,market
Abbott Square: Artisan Faire,2026-02-08,Abbott Square,music
Santa Cruz Maker Studios: Parents Night Out,2026-02-13,Santa Cruz Maker Studios,food
The Grove: Tribute to Queen by Candlelight,2026-02-13,The Grove,music
SC Museum of Natural History: Lichen Walk,2026-02-14,Santa Cruz Museum of Natural History,arts
West Cliff: Valentine’s Outdoor Market,2026-02-14,Santa Cruz,food
Natural Bridges State Beach: Migration Festival,2026-02-14,Natural Bridges State Beach,festival
Davenport: Go To Jail,2026-02-14,Davenport Jail,community
Shadowbrook: Valentine’s Day Dinner,2026-02-14,Shadowbrook Restaurant,food
The Grove Ballroom: Valentine’s Party,2026-02-14,The Grove,arts
Santa Cruz Mountains: Un-Valentines Costume Party,2026-02-14,Santa Cruz Moose Lodge,music
UCSC: Jon Scoville’s Music for Dancing Valentines,2026-02-14,UCSC Recital Hall,music
Bookshop Santa Cruz: Claire Oshetsky,2026-02-18,Bookshop Santa Cruz,community
Santa Cruz County Fairgrounds: Quilt Show,2026-02-21,Santa Cruz County Fairgrounds,market
Capitola Village: Sip & Stroll,2026-02-21,Capitola Village,food
45th Annual Clam Chowder Cook-Off,2026-02-21,Santa Cruz Beach Boardwalk,food
SC Civic Auditorium: Violent Femmes,2026-03-03,Santa Cruz Civic Auditorium,music
Scotts Valley: Alfred Hitchcock Festival,2026-03-06,Scotts Valley Performing Arts Center,food
Roaring Camp: Winter Warmer Festival,2026-03-07,Bret Harte Hall,music
Watsonville Film Festival,2026-03-12,CineLux Green Valley Cinema,arts
West Cliff: Saint Patrick’s Outdoor Market,2026-03-14,Steamer Lane at Lighthouse Point,market
Pono Hawaiian Grill: Ledward Kaapana,2026-03-15,Pono Hawaiian Grill,music
Santa Cruz MAH: Qingming Festival,2026-03-21,Santa Cruz Museum of Art and History,festival
SC Beach Boardwalk: Fun Run,2026-03-28,Santa Cruz Beach Boardwalk,sports
